目标编号,母任务项,任务编号,任务项,子任务编号,具体任务,执行责任人 (人员 ),起始时间,截止时间,任务负责人（负责拆解任务到执行者）,状态,遗留事项,本周进度,下一步计划,上周任务进度
G-001,T-001 智能网联系统生态,T-001-05,T-001-05 QUEEN 桌面 APP （α 版）开发上线,05C,UI 查缺补漏,肖飞,,,"房佳盈
刘博洋",进行中,"1、操作系统底栏隐藏；
2、多分辨率屏幕自适应；",,,"型检版进一步向技术要求对齐：
1. 增加版本号信息；
2. 病例检查类型去掉胃部，保留小肠和结直肠；"
G-001,T-001 智能网联系统生态,T-001-06,T-001-06 后端系统（α 版）开发上线,06A,软件开发文档,刘星科,2026-06-01,2026-12-31,"房佳盈
刘博洋",进行中,后端的DHF文档未编写,,,"1.CVistaSI胶囊式全景小肠内窥镜系统软件DHF文档初稿编写。完成软件配置管理计划、软件缺陷管理计划、外部软件评估报告、软件用户测试计划、软件用户测试报告、软件私有传输协议或存储格式、软件配置管理报告、软件安全兼容性测试计划、软件安全兼容性测试报告共9篇文档的编写。
2.整理并优化之前的文档，并上传gitlab。"
G-001,T-001 智能网联系统生态,T-001-06,T-001-06 后端系统（α 版）开发上线,06B,系统开发,刘星科,,,"房佳盈
刘博洋",进行中,后端性能、稳定性、安全性需要优化,,,"1.后端功能开发。将坤影软件的下载网页部署在k8s集群内，并与后端完成对接，可以正常下载集群内数据库的坤影安装包。
2.智能网联全实物联调。进行后端与小程序、手持终端、胶囊、记录仪、算法模块、坤影的端对端联调测试。发现以下问题：小程序上报订阅消息id错误；小程序部分接口未进行后端加密功能适配。当前问题已修改，全流程已跑通。
3.后端基础建设维护。更换即将过期的的ssl证书，并进行部署，经测试更换后后端功能正常。"
G-001,T-001 智能网联系统生态,T-001-07,T-001-07 全景算法（α 版）开发上线,07A,全景重构算法,"吴佳成,胡玮,田佳裕",2026-05-01,2026-05-31,"张家瑞
刘博洋",进行中,,,,"吴佳成:腔体topo自适应算法旋转角优化版本输出（v5.0.3）
胡玮: 基于长图联调版本贴壁场景拼接算法测试完成
田佳裕:小肠识别，病灶检测腔体场景集成算法开发(目前小肠分类准确度96%，病灶识别准确度74%，腔体准确度94%，中心误差为20px)"
G-001,T-001 智能网联系统生态,T-001-07,T-001-07 全景算法（α 版）开发上线,07B,转运速率重构算法,胡玮,,,"张家瑞
刘博洋",未启动,,,,
G-001,T-001 智能网联系统生态,T-001-07,T-001-07 全景算法（α 版）开发上线,07C,路径重构算法,张家瑞,,,"张家瑞
刘博洋",进行中,,,,引入特征点置信度机制和轨迹置信度的优化过程，输出V2.1版本的轨迹结果，并在完整的对照组数据集上进行测试和结果输出
G-001,T-001 智能网联系统生态,T-001-07,T-001-07 全景算法（α 版）开发上线,07D,测量算法,张家瑞,,,"张家瑞
刘博洋",未启动,,,,
G-001,T-001 智能网联系统生态,T-001-07,T-001-07 全景算法（α 版）开发上线,07E,病灶识别算法,"张家瑞,田佳裕",,,"张家瑞
刘博洋",未启动,,,,
G-001,T-001 智能网联系统生态,T-001-07,T-001-07 全景算法（α 版）开发上线,07F,部位识别算法,田佳裕,,,"张家瑞
刘博洋",未启动,,,,
G-001,T-001 智能网联系统生态,T-001-07,T-001-07 全景算法（α 版）开发上线,07G,知识产权与成果转化,张家瑞,,,"张家瑞
刘博洋",进行中,,,,大论文素材同创新申报PPT一起准备中，同步输出临采相关材料
G-001,T-001 智能网联系统生态,T-001-07,T-001-07 全景算法（α 版）开发上线,07H,智能网联部署对接,张家瑞,,,"张家瑞
刘博洋",进行中,,,,由于网联部分暂无相关需求，所以本周无相关进度
G-001,T-001 智能网联系统生态,T-001-08,T-001-08 数字化客户服务体系建设,08A,,,2026-05-01,2026-07-31,"钱玉炀
万军",,,,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-01,T-002-01 胃部自主巡航机器人项目管理,01A,扬帆计划申报,"李松恒,胡筱箐",2026-05-19,2026-05-25,"曹丽雪
李松恒",已完成,,完成申报书输出、评审、修改与终稿提交。,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-01,T-002-01 胃部自主巡航机器人项目管理,01B,知识产权工作,,,,"曹丽雪
李松恒",,,,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-01,T-002-01 胃部自主巡航机器人项目管理,01C,型式检验,"李松恒,曹丽雪",2026-01-01,2026-12-31,"曹丽雪
李松恒",进行中,,,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-01,T-002-01 胃部自主巡航机器人项目管理,01D,临床试验,,,,"曹丽雪
李松恒",,,,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-01,T-002-01 胃部自主巡航机器人项目管理,01E,浙检院来司调研：胃镜项目交流材料输出,李松恒,2026-06-03,2026-06-05,"曹丽雪
李松恒",已完成,,完成浙检院来访胃镜材料输出、接待与会议交流。,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-02,T-002-02 胃部自主巡航胶囊机器人,02A,CAP-PCBA,曾祥昇,2026-01-01,2026-08-30,"李齐琛
李松恒",未启动,,,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-02,T-002-02 胃部自主巡航胶囊机器人,02B,ISP-RFIC-嵌入式软件,李齐琛,2026-01-01,2026-07-15,"李齐琛
李松恒",未启动,,,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-03,T-002-03 胃部自主巡航胶囊机器人-PLUS,03A,C300-PLUS胶囊PCBA设计以及投板,刘智荣,,,"刘智荣
李松恒",未启动,,,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-03,T-002-03 胃部自主巡航胶囊机器人-PLUS,03B,根据功能需求设计嵌入式代码开发方案,李齐琛,,,"刘智荣
李松恒",未启动,,,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-03,T-002-03 胃部自主巡航胶囊机器人-PLUS,03C,胶囊采样模块调研与方案设计,刘智荣,,,"刘智荣
李松恒",未启动,采样模块总体框架梳理,,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-03,T-002-03 胃部自主巡航胶囊机器人-PLUS,03D,胶囊检测模块调研与方案设计,刘智荣,,,"刘智荣
李松恒",未启动,检测模块总体框架梳理,,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-04,T-002-04 胃部自主巡航接收控制器,04A,SIMO-RFU代码开发,徐道杰,2026-01-01,2026-07-15,"徐道杰
李松恒",进行中,,,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-04,T-002-04 胃部自主巡航接收控制器,04B,C300 UVC代码开发,李松恒,2026-01-01,2026-07-15,"徐道杰
李松恒",进行中,,,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-04,T-002-04 胃部自主巡航接收控制器,04C,SIMO与UVC集成的PCBA设计,徐道杰,2026-01-01,2026-07-15,"徐道杰
李松恒",未启动,,,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-05,T-002-05 胃部自主巡航系统天线/射频组件,05A,胶囊天线,杨超,2026-01-01,2026-04-30,"杨超
李松恒",已完成,,沿用C10000胶囊使用的螺旋天线设计。,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-05,T-002-05 胃部自主巡航系统天线/射频组件,05B,控制器天线,杨超,2026-01-01,2026-06-05,"杨超
李松恒",进行中,,,,已完成天线设计，天线阻抗带宽达到了125.4%（0.39GHz-1.7GHz），轴比带宽达到了70.5%（0.68GHz-1.42GHz），最大增益为3.5dBi，波束宽度为93度，天线具体结构在附件中。
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-06,T-002-06 胃部自主巡航控制设备,06A,磁控设备,"李松恒,刘佳琪",2026-01-01,2026-07-31,李松恒,进行中,暂无,,,完成磁控设备相关测试项的测试以及测试报告输出。
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-06,T-002-06 胃部自主巡航控制设备,06B,诊疗床,李松恒,2026-01-01,2026-07-31,李松恒,进行中,,,,
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-06,T-002-06 胃部自主巡航控制设备,06C,自动化控制软件,"刘佳琪,李彦恺",2026-01-01,2026-07-31,李松恒,进行中,暂无,,,"1.完成通讯测试、基础功能测试，整理数据；解决在性能测试中发现的问题：如通讯干扰
2.调研偏角仪能否应用于型检测试，并做测试；调研“驱动器串联的通讯原理”
3.辅助测试胶囊磁控性能，测试胶囊磁控边界条件"
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-06,T-002-06 胃部自主巡航控制设备,06D,磁极控制设备全量驱动软件测试，形成应用层软件设计方案。,刘佳琪,2026-06-01,2026-06-07,李松恒,进行中,暂无,,,基于磁极控制设备测试结果、接口和框架，进行软件设计文档的系统架构、代码功能、开发阶段撰写并完善，形成初版应用层软件设计方案。
G-001,T-002 C300SM-PLUS 胃部自主巡航机器人,T-002-07,T-002-07 C300创新审查 → 临床试验 → 注册提交,07A,,,2026-06-01,2026-12-31,"魏皓
赵韵涵",,,,,
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-01,T-003-01 CVISTA 全景小肠机器人项目管理,01A,型式检验,曹丽雪,2026-01-01,2026-12-31,"曹丽雪
李齐琛",进行中,"1.陆续安排DHF文档的输出，并完成对应受控工作；
2.型检跟进、相关问题协调与解决",,,"1.输出CVista-SI标签样稿技术文件，为型检所需标签提供参考；
2.CVista软件文档输出安排与委托生产工装工艺验证文档规划：CVista-SI 设计开发文档清单，目前软件文档已输出50%初稿。
3.CVista-SI送检前内部检验进展跟进：
①胶囊工作时长不达标（3fps模式，6个多小时），问题排查中，初步计划调整帧率模式重新测试；
②胶囊照度值实测卡下限；
③穿戴式体外控制终端测试暂未发现问题；
④阅片软件、APP软件测试准备中；"
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-01,T-003-01 CVISTA 全景小肠机器人项目管理,01B,临床试验,,,,"曹丽雪
李齐琛",,,,,
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-02,T-003-02 CVISTA 全景小肠胶囊机器人,02A,CAP-PCBA,曾祥昇,2026-01-01,2026-04-30,李齐琛,未启动,,,,
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-02,T-003-02 CVISTA 全景小肠胶囊机器人,02B,ISP-RFIC-嵌入式软件,李齐琛,2026-04-23,2026-05-31,李齐琛,已完成,,"已完成CVISTA项目ISP,RFIC模块的开发，已提交生产",,
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-02,T-003-02 CVISTA 全景小肠胶囊机器人,02C,镜头镀膜工艺调研与可行性评估，并结合光学仿真完成整体工艺设计。,刘智荣,2026-05-22,2026-06-09,李齐琛,进行中,,,,与两家供应商联系并获取到镀膜工艺参数与膜层性能，镀膜后反射率均低于0.5%，使用软件仿真对比，镀膜后光线反射最大辐照度可减少一个量级。
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-02,T-003-02 CVISTA 全景小肠胶囊机器人,02D,对接供应商，保障平头前盖输出合格产品,刘智荣,2026-05-22,2026-06-02,李齐琛,进行中,,,,优先跟进前盖镀膜工艺，此任务暂时搁置
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-02,T-003-02 CVISTA 全景小肠胶囊机器人,02E,胶囊嵌软型检文档输出,李齐琛,2026-06-01,2026-06-12,李齐琛,进行中,,,,"设计了文档输出工作流以及文档编写skill,效果良好，通过本次文档编写验证后，或可发布给其他同事使用"
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-02,T-003-02 CVISTA 全景小肠胶囊机器人,02F,测试不同频点误码率和误包率,"李齐琛,徐道杰",2026-06-02,2026-06-10,李齐琛,进行中,,,,1.测试误码率和误包率发现一个现象，当RSSI太高的时候，误码率和误包率会异常的高，比如5000包全错，但是当RSSI到一个区间后，才会进入正常的线性区，随着信号的变差逐渐降低误码率；2.目前由于射频连接线损坏，无法进行精密测试，目前已提交采购。
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-02,T-003-02 CVISTA 全景小肠胶囊机器人,02G,配合解决CVISTA胶囊生产中出现的问题,李齐琛,2026-06-01,2026-06-08,李齐琛,进行中,,,,厂房部分频段存在干扰，修改RFIC跟RFU代码，改用干扰较小频点；测试发现高帧率下胶囊工作时长达不到8小时，考虑编排工作时长测试模式，通过合理控制帧率来延长工作时长
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-03,T-003-03 穿戴式体外控制终端,03A,腰带设计与打样评估,董嘉喆,2026-01-01,2026-07-03,"杨超
李齐琛",未启动,,,,
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-03,T-003-03 穿戴式体外控制终端,03B,记录仪壳体设计与打样评估,"刘智荣,雷万楼",2026-01-01,2026-06-12,"杨超
李齐琛",进行中,与产品设计部沟通对外壳进行优化,,,对外壳进行初步设计，新设计外壳尺寸长*宽*高：72mm*60mm*9.36mm
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-03,T-003-03 穿戴式体外控制终端,03C,DR-PCBA设计投板与回板测试,"刘智荣,卢杨",2026-01-01,2026-06-12,"杨超
李齐琛",进行中,PCBA回板测试,,,已完成记录仪PCBA改版设计与评审
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-03,T-003-03 穿戴式体外控制终端,03D,RFU代码开发及改进,徐道杰,2026-04-23,2026-05-26,"杨超
李齐琛",已完成,,"1.CVista_rfu代码改进：①已修复rfu代码测试中存在的图片包序号乱序等问题；②rfu最大传输数据包个数扩大至22包，SPI写入改为一次写入；③增加天线上报、断连超时上报给记录仪；④rfu代码解耦重构，编写代码README。
2.CVista_rfu与胶囊/记录仪联调：配对/传图正常（4倍压缩率时帧率3.32fps、10倍压缩率时帧率4.07fps），指令正常响应。
3.CVista_rfu型检代码交付：已交付rfu 3/4天线通道版本、适配UVC版本代码。",,
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-03,T-003-03 穿戴式体外控制终端,03E,X2000嵌入式软件调试与联调,夏广培,2026-01-01,2026-05-26,"杨超
李齐琛",,,,,
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-03,T-003-03 穿戴式体外控制终端,03F,CPLD代码升级,刘智荣,2026-05-25,2026-05-26,"杨超
李齐琛",已完成,无,完成CPLD代码升级，与其他同事协同优化RFU缓存时长，提高胶囊帧率至3.3FPS（x4压缩倍率正常传图）,暂无,
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-03,T-003-03 穿戴式体外控制终端,03G,穿戴式体外控制终端嵌入式软件文档输出,徐道杰,2026-06-01,2026-06-12,"杨超
李齐琛",进行中,,,,1.已形成文档输出工作流；2.已输出8份文档初稿。
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-03,T-003-03 穿戴式体外控制终端,03H,CVista胶囊生产测试及解决生产中出现的问题,徐道杰,2026-06-01,2026-06-05,"杨超
李齐琛",已完成,,1.协助生产进行胶囊持续工作时长测试；2.RFU增加长时间断联后软复位自救功能，目前RFU与胶囊、记录仪/UVC工装进行持续工作测试，持续工作时间可达10h+，满足技术要求。,,
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-03,T-003-03 穿戴式体外控制终端,03I,穿戴式体外控制终端主机RF板及胶囊板在各预设工作频率下发射功率测试,"杨超,徐道杰",2026-06-01,2026-06-10,"杨超
李齐琛",进行中,,,,已完成CC1310开发板及穿戴式体外控制终端主机RF板在各预设工作频率下发射功率测试。
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-04,T-003-04 CVISTA 全景小肠天线/射频系统,04A,胶囊天线,杨超,2026-01-01,2026-04-30,"杨超
李齐琛",已完成,,沿用C10000胶囊使用的螺旋天线设计。,,
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-04,T-003-04 CVISTA 全景小肠天线/射频系统,04B,控制器天线,杨超,2026-01-01,2026-06-12,"杨超
李齐琛",进行中,,,,已完成天线设计，阻抗带宽达到了20%（0.81GHz-0.99GHz），轴比带宽达到了27%（0.83GHz-1.09GHz），最大增益为3.0dBi，波束宽度为95度，天线具体结构在附件中。
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-05,T-003-05 创新审查 → 临床试验 → 注册提交,05A,创新申报受理、答辩,赵韵涵,2026-03-29,2026-06-15,"赵韵涵
魏皓",进行中,"一、答辩PPT制作：
1.根据已有答辩材料补充更新素材占位图（知识产权、台架试验、动物实验部分数据）；
2.与研发部门协调确认知识产权、全景效果等部分的图像呈现。
3.修改完成PPT制作。
二、答辩问题清单：
1.模拟专家提问环节，明确问题及解答思路，同步标注提交资料索引。",,,1.完成答辩PPT的修改；2.整理提交材料资料包
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-06,T-003-06 CVista生产检验配套软件,06A,CVista配套UVC软件（用于胶囊整机检验）,李松恒,2026-05-25,2026-06-12,李松恒,进行中,根据生产/型检需求动态更新：工程代码的整体优化重构。,,,"①完成SPI包和串口包中log数据信息的提取、融合与向上位机端的发送，并调试验证功能正确实现。
②完成触发胶囊高速、低速、更低速三档帧率切换功能的实现，配合上位机软件实现在生产/型检时动态调节胶囊帧率，以符合工作时长要求。"
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-06,T-003-06 CVista生产检验配套软件,06B,CVista配套整机检验软件（用于胶囊整机检验）,李松恒,2026-05-25,2026-06-12,李松恒,进行中,根据生产/型检需求动态更新：重新开发与集成调焦检验/分辨力检测算法。,,,"①完成CVista软件子界面中胶囊log信息接收、解析与存储功能的开发，并调试验证功能实现正确。
②完成胶囊工作时间检验过程中帧率调节策略的编排与实现，需由生产工艺部门进行测试。"
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-06,T-003-06 CVista生产检验配套软件,06C,CVista配套调焦烧录与检验软件（用于胶囊调焦烧录与检验）,李松恒,2026-05-25,2026-06-19,李松恒,进行中,重新开发与集成调焦检验算法。,,,
G-001,T-003 CVISTA 全景小肠胶囊机器人,T-003-06,T-003-06 CVista生产检验配套软件,06D,CVista系统软件链路测试问题持续协助分析定位与解决,李松恒,2026-05-25,2026-07-31,李松恒,进行中,,,,根据姚国华测试情况定位到UVC工装中红板问题，并反馈至相应责任人进行解决（所定位问题已闭环解决）
G-001,T-004 示踪胶囊实验验证与数据采集,T-004-01,T-004-01 示踪胶囊项目管理,01A,示踪胶囊知识产权工作,胡筱箐,2026-06-15,2026-12-31,"曹丽雪
胡筱箐",进行中,,,,2026/06/01 色氨酸版本的技术交底书大改后重新提交了知识产权提案
G-001,T-004 示踪胶囊实验验证与数据采集,T-004-02,T-004-02 示踪胶囊辅料优化试制,02A,示踪胶囊原型制作,胡筱箐,2026-04-01,2026-12-31,胡筱箐,未启动,,,,
G-001,T-004 示踪胶囊实验验证与数据采集,T-004-03,T-004-03 示踪胶囊体外测试,03A,示踪胶囊体外测试,胡筱箐,,,胡筱箐,未启动,,,,
G-001,T-004 示踪胶囊实验验证与数据采集,T-004-04,T-004-04 示踪胶囊动物实验,04A,,,2026-06-15,2026-06-30,魏皓,,,,,
G-001,T-004 示踪胶囊实验验证与数据采集,T-004-05,T-004-05 示踪胶囊临床试验,05A,示踪胶囊临床试验,胡筱箐,,,胡筱箐,未启动,,,,
G-001,T-005 科技项目、资质与知识产权申报推进,T-005-01,T-005-01 科技项目、资质申报持续,01A,科技项目持续申报,殷银银,2026-01-01,2026-12-31,殷银银,未启动,,,,
G-001,T-005 科技项目、资质与知识产权申报推进,T-005-01,T-005-01 科技项目、资质申报持续,01B,企业资质申报,殷银银,2026-01-01,2026-12-31,殷银银,未启动,,,,
G-001,T-005 科技项目、资质与知识产权申报推进,T-005-02,T-005-02 知识产权目标：年中35项、年底50项授权、提报1项行标/国标,02A,①达成授权发明专利目标年中35项、年底50项授权；②提报1项行标/国标,殷银银,2026-01-01,2026-12-31,殷银银,进行中,,,,已完成授权发明26件（本周新增授权发明1项）
G-001,T-006 结直肠胶囊注册推进与临床数据建设,T-006-01,T-006-01 结直肠胶囊：临床收尾 → 注册提交→ 体考→ 注册补正,01A,临床收尾,魏皓,2026-01-01,2026-12-31,"单春燕
魏皓
赵韵涵",进行中,1、cro、SMO后续费用待确认支付,,,1、本周同三方公司沟通重庆U盘丢失后续，对解决方案暂未达成一致。
G-001,T-006 结直肠胶囊注册推进与临床数据建设,T-006-01,T-006-01 结直肠胶囊：临床收尾 → 注册提交→ 体考→ 注册补正,01B,结直肠体考补正,"单春燕,贺晓琴",2026-05-13,2026-05-25,"单春燕
魏皓
赵韵涵",进行中,等待体考补正（如有），及时整改提交资料,,,
G-001,T-006 结直肠胶囊注册推进与临床数据建设,T-006-01,T-006-01 结直肠胶囊：临床收尾 → 注册提交→ 体考→ 注册补正,01C,注册补正,"程立瑞,单春燕",2026-05-13,2026-08-01,"单春燕
魏皓
赵韵涵",进行中,"1.合同签订，安排送样并开启检测。(已提前生产完112pcs备用粘胶空壳样品）；
2.获取合格检测报告。",,,
G-001,T-006 结直肠胶囊注册推进与临床数据建设,T-006-02,T-006-02 形成临床跟踪数据库,02A,完成临床数据收集系统的搭建并投入使用,"贾飞,季强",2026-05-01,2026-07-31,"钱玉炀
季强",进行中,1.研发字段未纳入，未对图像做字段自动化。2.字段智能识别准确率问题3.软著材料未完成  ,,,1.完成前端UI优化和系统名称图标修订；2.完成功能更新：新增SSU进展和资料准备的资料项上传，关联以及状态互通，完成智能字段识别功能，对字段的一些检验和逻辑做约束。3.完成软著相关调研和部分材料补齐 
G-001,T-007 给药机器人原型开发与合作路径推进,T-007-01,T-007-01 给药机器人原型机,01A,,,2026-05-01,2026-07-31,胡峰,,,,,
G-001,T-007 给药机器人原型开发与合作路径推进,T-007-02,T-007-02 给药机器人药品合作路径,02A,,,2026-05-01,2026-07-31,钱玉炀,,,,,
G-001,T-008 智慧物联系统产品,T-008-01,T-008-01 智慧物联系统项目管理,01A,,,2026-05-01,2026-07-31,胡峰,,,,,
G-001,T-008 智慧物联系统产品,T-008-02,T-008-02 智慧物联系统中控系统平台,02A,,,,,胡峰,,,,,
G-001,T-008 智慧物联系统产品,T-008-03,T-008-03 智慧物联系统网络设备,03A,,,,,胡峰,,,,,
G-001,T-008 智慧物联系统产品,T-008-03,T-008-03 智慧物联系统网络设备,03B,编写需求说明文档,"李齐琛,曹丽雪,房佳盈,卢杨",2026-06-03,,胡峰,进行中,,,,与胡博讨论了mesh自组网框架，编写了需求说明文档
G-001,T-009 科研成果发表与新技术立项推进,T-009-01,T-009-01 高水平文章发表：目标期刊 Science（胡峰、杜风）,01A,,,2026-01-01,2026-08-31,胡峰,,,,,
G-001,T-009 科研成果发表与新技术立项推进,T-009-02,T-009-02 体内微型诊疗机器人理论体系搭建与国内发表（胡峰、杜风、钱玉杨）,02A,,,2026-04-01,2026-10-31,"钱玉炀
胡峰",,,,,
G-001,T-009 科研成果发表与新技术立项推进,T-009-03,T-009-03 真实世界研究和新技术立项,03A,,,2026-03-29,2026-05-01,"胡峰
钱玉炀",,,,,
G-001,T-010 全息交互与肠机交互合作推进,T-010-01,T-010-01 全息交互、肠机接口、肠机交互合作,01A,,,2026-04-01,2026-12-31,万军,,,,,
G-002,T-011 小肠胶囊量产出货准备与供应链建设,T-011-01,T-011-01 量产出货准备：小肠胶囊 CE 认证及 13485 证书,01A,提交一轮整改资料、沟通筹备现场体考,赵韵涵,2026-01-01,2026-08-31,赵韵涵,进行中,"一、整改资料提交及后续审核：
1.跟进二次审核时间，协调相关配合审核的人员。
二、现场审核筹备：
1.咨询现场时间安排，沟通协调模拟现场审核事项；
2.内部同步现场审核安排信息，配合现场审核工作。
",,,1.咨询审核时间安排，沟通壹领配合二轮审核。
